CPLX0-1962	3-hydroxy acid dehydrogenase	(("EG12345-MONOMER", 4))
CPLX0-7451	Flagellar Export Apparatus	(("G378-MONOMER", 1) ("G377-MONOMER", 6) ("EG11656-MONOMER", 12) ("EG11977-MONOMER", 1) ("EG11976-MONOMER", 1) ("EG11975-MONOMER", 1) ("EG11224-MONOMER", 1) ("G7028-MONOMER", 1) ("G370-MONOMER", 1))
CPLX-159	PTS permease - unknown specificity	(("FRVA-MONOMER", 1) ("FRVB-MONOMER", 2))
ABC-4-CPLX	arginine ABC transporter	(("ARTJ-MONOMER", 1) ("ARTI-MONOMER", 1) ("ARTQ-MONOMER", 1) ("ARTM-MONOMER", 1) ("ARTP-MONOMER", 2))
UDPGLUCEPIM-CPLX	UDP-glucose 4-epimerase	(("UDPGLUCEPIM-MONOMER", 2))
CPLX0-3929	D-arabinose 5-phosphate isomerase	(("EG10973-MONOMER", 4))
CPLX0-7994	poly-&beta;-1,6-N-acetyl-D-glucosamine synthase	(("G6529-MONOMER", 1) ("G6528-MONOMER", 1))
CPLX0-7847	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	(("PDXA-MONOMER", 2))
CPLX0-3061	aminopeptidase A/I and DNA-binding transcriptional repressor	(("EG10694-MONOMER", 6))
CPLX0-7938	PTS enzyme I	(("PTSI-MONOMER", 2))
PAPSSULFOTRANS-CPLX	3'-phospho-adenylylsulfate reductase	(("PAPSSULFOTRANS-MONOMER", 2))
CPLX0-3937	evolved &beta;-D-galactosidase	(("EG10253-MONOMER", 4) ("EG10252-MONOMER", 4))
RHAMNULPALDOL-CPLX	rhamnulose-1-phosphate aldolase	(("RHAMNULPALDOL-MONOMER", 4))
CPLX0-7444	putative structural protein	(("EG11126-MONOMER", 2))
ASNSYNA-CPLX	asparagine synthetase A	(("ASNSYNA-MONOMER", 2))
CPLX0-7520	cyanase	(("CYANLY-CPLX", 5) ("CYANLY-MONOMER", 10))
CPLX0-3957	SbcCD ATP-dependent dsDNA exonuclease	(("EG11094-MONOMER", 1) ("EG10927-MONOMER", 1))
CPLX0-7615	&alpha;-dehydro-&beta;-deoxy-<i>D</i>-glucarate aldolase	(("KDGALDOL-MONOMER", 6))
CPLX0-7974	NADH pyrophosphatase	(("EG11702-MONOMER", 2))
CPLX0-981	PspF DNA-binding transcriptional dual regulator	(("EG12344-MONOMER", 6))
CPLX0-7823	DosC-DosP complex	(("G6784-MONOMER", 1) ("G6783-MONOMER", 1))
CPLX0-232	PTS permease - unknown specificity	(("GLVB-MONOMER", 1) ("GLVC-MONOMER", 2))
PURE-CPLX	<i>N</i><sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	(("PURE-MONOMER", 8))
NRDF-CPLX	ribonucleoside-diphosphate reductase 2, &beta; subunit dimer	(("NRDF-MONOMER", 2))
CPLX-165	mannose PTS permease	(("MANX-MONOMER", 2) ("MANY-MONOMER", 1) ("MANZ-MONOMER", 2))
CPLX0-7824	Fe-S transport protein in Fe-S cluster assembly	(("EG11378-MONOMER", 2))
CPLX0-7683	mannose isomerase	(("EG11845-MONOMER", 6))
CPLX0-2021	HU DNA-binding transcriptional dual regulator	(("EG10467-MONOMER", 1) ("EG10466-MONOMER", 1))
CTPSYN-CPLX	CTP synthase	(("CTPSYN-MONOMER", 4))
CPLX0-1601	putative selenate reductase	(("G6848-MONOMER", 1) ("G6847-MONOMER", 1) ("G6846-MONOMER", 1) ("G6845-MONOMER", 1))
NADH-DHI-CPLX	NADH:ubiquinone oxidoreductase I	(("CPLX0-3362", 1) ("NUOB-MONOMER", 1) ("NUOC-MONOMER", 1) ("NUOI-MONOMER", 1) ("CPLX0-3361", 1) ("NUOE-MONOMER", 1) ("NUOF-MONOMER", 1) ("NUOG-MONOMER", 1) ("NUON-MONOMER", 1) ("NUOM-MONOMER", 1) ("NUOL-MONOMER", 1) ("NUOK-MONOMER", 1) ("NUOJ-MONOMER", 1) ("NUOH-MONOMER", 1) ("NUOA-MONOMER", 1))
CPLX0-2861	BglG transcriptional antiterminator	(("EG10116-MONOMER", 2))
CPLX0-3141	quinol monooxygenase	(("EG12657-MONOMER", 2))
GDPMANDEHYDRA-CPLX	GDP-mannose 4,6-dehydratase	(("GDPMANDEHYDRA-MONOMER", 2))
PC00063	GatR DNA-binding transcriptional repressor	(("PD02366", 1) ("PD00338", 1))
CPLX0-7616	tartronate semialdehyde reductase 2	(("G6278-MONOMER", 4))
CPLX0-3401	fimbrial complex	(("EG10315-MONOMER", 1) ("EG10314-MONOMER", 1) ("EG10313-MONOMER", 1) ("EG10308-MONOMER", 1))
TRYPTOPHAN-CPLX	tryptophanase / L-cysteine desulfhydrase	(("TRYPTOPHAN-MONOMER", 4))
CPLX0-7697	MukEF complex	(("CPLX0-7698", 1) ("EG12165-MONOMER", 2) ("EG11252-MONOMER", 4))
CPLX0-7622	L-serine deaminase III	(("LSERINEDEAM3-MONOMER", 2))
METNIQ-METHIONINE-ABC-CPLX	L-methionine / D-methionine ABC transporter	(("METQ-MONOMER", 1) ("METI-MONOMER", 1) ("ABC-MONOMER", 2))
ORNCARBAMTRANSFERF-CPLX	ornithine carbamoyltransferase chain F	(("CHAINF-MONOMER", 3))
CPLX0-7717	penicillin-binding protein 1A	(("EG10748-MONOMER", 2))
PHOSPHASERSYN-CPLX	phosphatidylserine synthase	(("PHOSPHASERSYN-MONOMER", 1))
CPLX0-7757	HipB antitoxin and DNA-binding transcriptional repressor	(("EG10442-MONOMER", 2))
CPLX0-251	2-methylcitrate synthase	(("G6198-MONOMER", 2))
CPLX-7	arsenite:H<sup>+</sup> antiporter	(("ARSF-MONOMER", 2))
ARABISOM-CPLX	L-arabinose isomerase	(("ARABISOM-MONOMER", 6))
CPLX0-3970	murein tripeptide ABC transporter OppBCDFMppA	(("G6665-MONOMER", 1) ("OPPF-MONOMER", 1) ("OPPD-MONOMER", 1) ("OPPC-MONOMER", 1) ("OPPB-MONOMER", 1))
CPLX0-3976	Enterobacterial Common Antigen Biosynthesis Protein Complex	(("EG11295-MONOMER", 1) ("FUC4NACTRANS-MONOMER", 1) ("EG11486-MONOMER", 1))
CPLX0-222	RNA polymerase sigma 28	(("APORNAP-CPLX", 1) ("EG10893-MONOMER", 2) ("RPOC-MONOMER", 1) ("RPOB-MONOMER", 1) ("EG11355-MONOMER", 1))
RNAPS-CPLX	RNA polymerase sigma 38	(("RPOS-MONOMER", 1) ("APORNAP-CPLX", 1) ("EG10893-MONOMER", 2) ("RPOC-MONOMER", 1) ("RPOB-MONOMER", 1))
RNAP70-CPLX	RNA polymerase sigma 70	(("RPOD-MONOMER", 1) ("APORNAP-CPLX", 1) ("EG10893-MONOMER", 2) ("RPOC-MONOMER", 1) ("RPOB-MONOMER", 1))
RNAPE-CPLX	RNA polymerase sigma 24	(("RPOE-MONOMER", 1) ("APORNAP-CPLX", 1) ("EG10893-MONOMER", 2) ("RPOC-MONOMER", 1) ("RPOB-MONOMER", 1))
RNAP32-CPLX	RNA polymerase sigma 32	(("RPOH-MONOMER", 1) ("APORNAP-CPLX", 1) ("EG10893-MONOMER", 2) ("RPOC-MONOMER", 1) ("RPOB-MONOMER", 1))
CPLX0-221	RNA polymerase sigma 19	(("PD00440", 1) ("APORNAP-CPLX", 1) ("EG10893-MONOMER", 2) ("RPOC-MONOMER", 1) ("RPOB-MONOMER", 1))
RNAP54-CPLX	RNA polymerase sigma 54	(("RPON-MONOMER", 1) ("APORNAP-CPLX", 1) ("EG10893-MONOMER", 2) ("RPOC-MONOMER", 1) ("RPOB-MONOMER", 1))
TRG-CPLX	chemotaxis signaling complex - ribose/galactose/glucose sensing	(("TRG-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
TRG-GLN	Trg<SUP>gln</SUP>	(("TRG-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
TRG-GLU	Trg<SUP>glu</SUP>	(("TRG-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
TRG-GLUME	Trg<SUP>glu-Me</SUP>	(("TRG-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
CPLX0-1	reduced flavorubredoxin	(("G7413-MONOMER", 4))
CPLX0-2	oxidized flavorubredoxin	(("G7413-MONOMER", 4))
ISOCITHASE-P	isocitrate dehydrogenase-P	(("ISOCITDEH-SUBUNIT", 2))
CHEA-CPLX	CheA(L) histidine kinase	(("PROTEIN-CHEA", 2))
ISOCITHASE-CPLX	isocitrate dehydrogenase	(("ISOCITDEH-SUBUNIT", 2))
ENTB-CPLX	EntB isochorismatase / aryl-carrier protein	(("ENTB-MONOMER", 2))
APO-ENTB	apo-EntB multimer	(("ENTB-MONOMER", 2))
CPLX0-7849	aryl-EntB	
TORR-CPLX	TorR transcriptional dual regulator	(("TORR-MONOMER", 2))
PHOSPHO-TORR	TorR-Phosphorylated DNA-binding transcriptional dual regulator	(("TORR-MONOMER", 2))
CPLX0-2821	TorR-TorI	(("TORR-MONOMER", 2))
GLNL-CPLX	NtrB sensory histidine kinase	(("PROTEIN-NRII", 2))
PROTEIN-NRIIP	NtrB sensory histidine kinase - phosphorylated	(("PROTEIN-NRII", 2))
PYRUVFORMLY-CPLX	pyruvate formate-lyase / 2-ketobutyrate formate-lyase	(("PYRUVFORMLY-MONOMER", 2))
PYRUVFORMLY-INACTIVE-CPLX	pyruvate formate-lyase (inactive)	(("PYRUVFORMLY-MONOMER", 2))
RIBONUCLEOSIDE-TRIP-REDUCT-CPLX	ribonucleoside-triphosphate reductase	(("RIBONUCLEOSIDE-TRIP-REDUCT-MONOMER", 2))
TSR-GLUME	Tsr<SUP>glu-Me</SUP>	(("TSR-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2) ("CHEW-MONOMER", 2))
TSR-GLU	Tsr<SUP>glu</SUP>	(("TSR-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2) ("CHEW-MONOMER", 2))
TSR-CPLX	chemotaxis signaling complex - serine sensing	(("TSR-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2) ("CHEW-MONOMER", 2))
TSR-GLN	Tsr<SUP>gln</SUP>	(("TSR-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2) ("CHEW-MONOMER", 2))
TAP-CPLX	chemotaxis signaling complex - dipeptide sensing	(("TAP-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
TAP-GLUME	Tap<SUP>glu-Me</SUP>	(("TAP-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
TAP-GLN	Tap<SUP>gln</SUP>	(("TAP-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
TAP-GLU	Tap<SUP>glu</SUP>	(("TAP-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
PROTEIN-NRIP	NtrC-Phosphorylated DNA-binding transcriptional dual regulator	(("MONOMER0-4198", 8))
GLNG-CPLX	NtrC transcriptional dual regulator	(("PROTEIN-NRI", 2))
PHOSPHO-ENVZ	EnvZ sensory histidine kinase - phosphorylated	(("ENVZ-MONOMER", 2))
ENVZ-CPLX	EnvZ sensory histidine kinase	(("ENVZ-MONOMER", 2))
ACETYL-COA-CARBOXYLMULTI-CPLX	acetyl-CoA carboxylase	(("BCCP-CPLX", 1) ("BCCP-BIOTIN", 2) ("BIOTIN-CARBOXYL-CPLX", 1) ("BIOTIN-CARBOXYL-MONOMER", 2) ("ACETYL-COA-CARBOXYLTRANSFER-CPLX", 1) ("CARBOXYL-TRANSFERASE-ALPHA-MONOMER", 2) ("CARBOXYL-TRANSFERASE-BETA-MONOMER", 2))
ACECITLY-CPLX	citrate lyase	(("CITRYLY-CPLX", 1) ("CITRYLY-MONOMER", 6) ("CITTRANS-CPLX", 1) ("CITTRANS-MONOMER", 6) ("ACPSUB-CPLX", 1) ("ACPSUB-MONOMER", 6))
TAR-CPLX	chemotaxis signaling complex - aspartate sensing	(("TAR-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
TAR-GLU	Tar<SUP>glu</SUP>	(("TAR-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
TAR-GLN	Tar<SUP>gln</SUP>	(("TAR-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
TAR-GLUME	Tar<SUP>glu-Me</SUP>	(("TAR-MONOMER", 2) ("CHEW-MONOMER", 2) ("CHEA-CPLX", 1) ("PROTEIN-CHEA", 2))
CITLY-CPLX	citrate lyase, inactive	(("CITRYLY-CPLX", 1) ("CITRYLY-MONOMER", 6) ("CITTRANS-CPLX", 1) ("CITTRANS-MONOMER", 6) ("ACPSUB-CPLX", 1) ("ACPSUB-MONOMER", 6))
