pathwayId	pathwayName	genes	reactions
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	["EG11501", "EG10960", "G6811", "EG10361", "G6646", "EG11329", "EG10961", "EG10964", "G6755", "G7596", "G6645", "EG10036", "EG11822", "G6644"]	["RXN-6423", "ORNDECARBOX-RXN", "PUTTRANSAM-RXN", "AMINOBUTDEHYDROG-RXN", "SUCCSEMIALDDEHYDROG-RXN", "SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "GABATRANSAM-RXN", "AGMATIN-RXN", "ARGDECARBOX-RXN", "RXN0-3901", "RXN0-3921", "RXN0-3922", "RXN0-3942"]
NAD-BIOSYNTHESIS-II	NAD salvage pathway III	["EG11335"]	["RIBOSYLNICOTINAMIDE-KINASE-RXN", "2.7.7.1-RXN", "RXN-5841", "RXN-5822", "NADPYROPHOSPHAT-RXN"]
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	["EG10519", "G7663", "EG10518", "G7662", "EG10973"]	["RXN-16804", "DARAB5PISOM-RXN", "KDO-8PSYNTH-RXN", "KDO-8PPHOSPHAT-RXN", "CPM-KDOSYNTH-RXN"]
THREOCAT-PWY	superpathway of L-threonine metabolism	["G6455", "EG10031", "M014", "EG13139", "EG10993", "EG12293", "EG10512", "G7627", "EG10701", "EG20173", "EG11172", "EG10027", "EG10496", "EG10497", "EG10495", "EG10500", "EG10499", "EG10494", "EG10502", "G8221", "EG10501", "EG10493", "EG10990"]	["ACETOOHBUTSYN-RXN", "ACETOOHBUTREDUCTOISOM-RXN", "BRANCHED-CHAINAMINOTRANSFERILEU-RXN", "DIHYDROXYMETVALDEHYDRAT-RXN", "RXN-15121", "RXN-15123", "RXN-15122", "PROPKIN-RXN", "PTAALT-RXN", "KETOBUTFORMLY-RXN", "AKBLIG-RXN", "AMACETOXID-RXN", "THREOSPON-RXN", "THREODEHYD-RXN", "ACETALD-DEHYDROG-RXN", "THREONINE-ALDOLASE-RXN"]
ALANINE-SYN2-PWY	L-alanine biosynthesis II	["G7184", "G7242"]	["ALANINE-AMINOTRANSFERASE-RXN"]
PWY0-1490	EvgSA Two-Component Signal Transduction System	["EG11609", "EG11610"]	["EVGA-RXN", "RXN0-6493", "RXN0-6494", "RXN0-6495"]
PWY0-1586	peptidoglycan maturation (<i>meso</i>-diaminopimelate containing)	["G7668", "G7322", "EG12867", "G7265", "EG10203", "EG11893", "EG10201", "EG10606", "EG10341", "EG10605", "G6565", "G7642", "EG10748", "G7073", "G6422", "G6571", "EG11253", "G6904"]	["RXN-16691", "RXN-16687", "RXN-16690", "RXN-16689", "RXN-16688", "RXN-16685", "RXN-16665", "RXN-16664", "RXN-16659", "RXN-16660", "RXN-16649", "RXN-16650"]
TYRSYN	L-tyrosine biosynthesis I	["EG11040", "EG10096", "EG10707", "EG11039"]	["CHORISMATEMUT-RXN", "PREPHENATEDEHYDROG-RXN", "TYROSINE-AMINOTRANSFERASE-RXN"]
LCYSDEG-PWY	L-cysteine degradation II	["EG10583", "EG10564", "EG10192", "EG10193", "EG11005", "G7622"]	["RXN-15127", "RXN-15124", "RXN-15129"]
PWY0-1335	NADH to cytochrome <i>bo</i> oxidase electron transfer I	["EG12082", "EG12088", "EG12090", "EG12091", "EG12092", "EG11773", "EG12093", "EG12089", "EG12087", "EG11774", "EG12086", "EG12084", "EG12083", "EG10181", "EG10178", "EG10179", "EG10180"]	["RXN0-5268", "NADH-DEHYDROG-A-RXN"]
DAPLYSINESYN-PWY	L-lysine biosynthesis I	["EG10209", "EG10549", "EG10208", "EG10066", "EG10946", "EG10207", "EG10205", "EG10088", "EG10550", "EG10206"]	["RXN-14014", "ASPARTATEKIN-RXN", "ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN", "DIHYDRODIPICSYN-RXN", "TETHYDPICSUCC-RXN", "SUCCINYLDIAMINOPIMTRANS-RXN", "SUCCDIAMINOPIMDESUCC-RXN", "DIAMINOPIMDECARB-RXN", "DIAMINOPIMEPIM-RXN"]
PWY-7183	pyrimidine nucleobases salvage I	["EG11332"]	["URACIL-PRIBOSYLTRANS-RXN"]
PWY0-1312	acetate formation from acetyl-CoA I	["EG10027", "EG20173", "G7288"]	["PHOSACETYLTRANS-RXN", "ACETATEKIN-RXN"]
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	["EG10959", "EG11501", "EG10960", "EG10961", "EG10964", "EG10962", "EG10963", "EG10131", "G6094"]	["LYSDECARBOX-RXN", "RXN0-5217", "SAMDECARB-RXN", "SPERMIDINESYN-RXN", "ORNDECARBOX-RXN", "AGMATIN-RXN", "ARGDECARBOX-RXN"]
PWY-46	putrescine biosynthesis III	["EG10961"]	["ORNDECARBOX-RXN"]
PWY-6897	thiamine salvage II	["M007", "EG11586", "G6234", "G7259", "G7135"]	["PYRIMSYN3-RXN", "OHMETPYRKIN-RXN", "THI-P-KIN-RXN", "THI-P-SYN-RXN", "THIAZOLSYN3-RXN"]
PWY0-1515	"NarX Two-Component Signal Transduction System", "nitrate dependent"	["EG10643", "EG10646", "EG11527"]	["NARLX-RXN", "NARX-RXN", "NARPX-RXN"]
PWY-6708	ubiquinol-8 biosynthesis (prokaryotic)	["G6365", "EG11473", "EG11324", "EG11143", "EG11333", "EG11396", "EG11370"]	["4OHBENZOATE-OCTAPRENYLTRANSFER-RXN", "3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN", "2-OCTAPRENYLPHENOL-HYDROX-RXN", "2-OCTAPRENYL-6-OHPHENOL-METHY-RXN", "2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN", "2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN", "DHHB-METHYLTRANSFER-RXN", "OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN"]
PWY-7801	N-end rule pathway I (prokaryotic)	["EG11112", "EG30054", "EG30051", "EG30048", "EG30052", "EG30049", "EG30053", "EG30050", "EG30047"]	["LEUCYLTRANSFERASE-RXN", "RXN-17846"]
PWY-5437	L-threonine degradation I	["G7627", "EG10701", "EG20173", "EG11172", "EG10027", "EG10990"]	["RXN-15121", "RXN-15123", "RXN-15122", "PROPKIN-RXN", "PTAALT-RXN", "KETOBUTFORMLY-RXN"]
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	["M012", "M011", "M010", "G7335", "G7334", "G7336", "M015", "M009"]	["HCAMULTI-RXN", "PHENPRODIOLDEHYDROG-RXN", "MHPHYDROXY-RXN", "1.13.11.16-RXN", "MHPCHYDROL-RXN"]
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)	["EG50009", "EG11490"]	["GLUTDECARBOX-RXN"]
PWY0-1561	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer	["EG10394", "EG10181", "EG10178", "EG10179", "EG10180"]	["RXN0-5268", "RXN0-5260"]
PWY-6890	4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	["G7135", "EG11585"]	["PYRIMSYN1-RXN", "PYRIMSYN3-RXN"]
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	["EG11528", "EG11284", "EG11318", "EG10274", "EG11542", "EG50003"]	["RXN-9550", "RXN-10654", "RXN-10655", "RXN-10656", "RXN-10657", "RXN-10658", "RXN-10659", "RXN-10660", "RXN-10661"]
PWY-4381	fatty acid biosynthesis initiation I	["EG11317", "EG10277", "EG11647", "EG10217", "EG50003"]	["RXN0-5055", "2.3.1.180-RXN", "MALONYL-COA-ACP-TRANSACYL-RXN"]
PWY-5340	sulfate activation for sulfonation	["EG10186", "EG10194", "EG10185"]	["ADENYLYLSULFKIN-RXN", "SULFATE-ADENYLYLTRANS-RXN"]
IDNCAT-PWY	L-idonate degradation	["G7892", "EG12152", "G7893"]	["1.1.1.264-RXN", "GLUCONOKIN-RXN", "GLUCONATE-5-DEHYDROGENASE-RXN"]
PWY-7805	aminomethylphosphonate degradation	["EG10724", "EG10721", "EG10717", "EG10716", "EG10718", "EG10722", "EG10719", "EG10725", "EG10723", "EG10051", "EG10755", "EG10727"]	["INORGPYROPHOSPHAT-RXN", "ADENPRIBOSYLTRAN-RXN", "RXN0-1401", "RXN0-6710", "RXN-17956", "RXN-17955", "RXN-17954", "RXN0-7014"]
PWY0-1466	trehalose degradation VI (periplasmic)	["EG11017"]	["ALDOSE-1-EPIMERASE-RXN", "TREHALA-RXN"]
GLUCARDEG-PWY	<i>D</i>-glucarate degradation I	["EG10016", "EG11176", "G7445", "EG11175", "G6283"]	["GKI-RXN", "GLUCARDEHYDRA-RXN", "TSA-REDUCT-RXN", "KDGALDOL-RXN"]
PWY-6151	<i>S</i>-adenosyl-L-methionine cycle I	["EG11090", "EG12712", "EG10589", "EG10587", "EG10584"]	["HOMOCYSMET-RXN", "RXN-7605", "S-ADENMETSYN-RXN", "RIBOSYLHOMOCYSTEINASE-RXN", "ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN"]
PWY-6125	superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II	["EG10421", "EG10420", "EG10965", "EG10660", "EG10661", "EG11417", "EG20257", "EG12381", "EG10650", "EG10032", "G7401", "EG11031", "EG11887"]	["DGDPKIN-RXN", "RXN0-748", "RXN0-746", "GDPREDUCT-RXN", "GDPKIN-RXN", "GUANYL-KIN-RXN", "GMP-SYN-GLUT-RXN", "IMP-DEHYDROG-RXN"]
PWY0-1241	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis	["G7590", "EG11736", "EG10838", "G6106"]	["RXN0-4301", "5.1.3.20-RXN", "RXN0-4361", "RXN0-4342", "RXN0-4341"]
ECASYN-PWY	enterobacterial common antigen biosynthesis	["EG11458", "G7800", "EG10840", "EG11455", "EG11456", "EG11978", "EG11454", "EG11453", "EG11452", "EG11451"]	["UDPGLCNACEPIM-RXN", "UDPMANNACADEHYDROG-RXN", "DTDPGLUCDEHYDRAT-RXN", "DTDPGLUCOSEPP-RXN", "RFFTRANS-RXN", "TDPFUCACTRANS-RXN", "GLCNACPTRANS-RXN", "FUC4NACTRANS-RXN", "UDPMANACATRANS-RXN"]
PWY0-1492	UhpBA Two Component Signal Transduction System	["EG11051", "EG11052"]	["UHPB-RXN", "RXN0-6499"]
GLUTAMINDEG-PWY	L-glutamine degradation I	["EG10403", "EG10404", "EG10092", "EG10135", "EG10134", "EG10810", "EG10420", "EG10450", "EG10448", "G6810", "G6261"]	["GLUTAMIN-RXN"]
PWY0-461	L-lysine degradation I	["EG10131", "G6094"]	["LYSDECARBOX-RXN"]
PWY0-1568	NADH to cytochrome <i>bd</i> oxidase electron transfer II	["EG10649", "EG10173", "EG10174", "G0-10441"]	["RXN0-5266", "RXN0-5330"]
PWY-7761	NAD salvage pathway II	["G6350", "G7409", "EG10663"]	["NAD-SYNTH-GLN-RXN", "NADPYROPHOSPHAT-RXN", "NMNAMIDOHYDRO-RXN", "NICONUCADENYLYLTRAN-RXN"]
MENAQUINONESYN-PWY	menaquinol-8 biosynthesis	["EG11473"]	["ADOMET-DMK-METHYLTRANSFER-RXN"]
