"Reactions"	"Object ID"	"EC-Number"	"Enzymatic-Reaction"
RIBONUCLEOSIDE-DIP-REDUCTI-RXN	"RIBONUCLEOSIDE-DIP-REDUCTI-RXN"	EC-1.17.4.1	RIBONUCLEOSIDE-DIP-REDUCTII-ENZRXN // RIBONUCLEOSIDE-DIP-REDUCTI-ENZRXN
THIOREDOXIN-RXN	"THIOREDOXIN-RXN"		
RXN-19616	"RXN-19616"		
RXN-18581	"RXN-18581"		
RXN-18603	"RXN-18603"		
RXN-17634	"RXN-17634"	EC-3.5.1.124	ENZRXN0-8331
RXN-14381	"RXN-14381"		ENZRXN-24166
RXN0-2606	"RXN0-2606"		ENZRXN-2009
TRANS-RXN-161	"TRANS-RXN-161"	EC-2.7.1.200	TRANS-ENZRXN-161
RXN0-308	"RXN0-308"		ENZRXN0-251
RXN0-7197	"RXN0-7197"	EC-2.8.1	
TRNA-S-TRANSFERASE-RXN	"TRNA-S-TRANSFERASE-RXN"	EC-2.8.1	ENZRXN0-7856
RXN-14382	"RXN-14382"		ENZRXN0-6598
RXN-18707	"RXN-18707"	EC-2.8.1	ENZRXN-25689
RXN-12587	"RXN-12587"		ENZRXN-19524
RXN-17931	"RXN-17931"		
RXN-17936	"RXN-17936"		
RXN-17928	"RXN-17928"		
RXN-17910	"RXN-17910"		
RXN-17905	"RXN-17905"	EC-6.5.1.8	ENZRXN-24982
RNA-3-PHOSPHATE-CYCLASE-RXN	"RNA-3-PHOSPHATE-CYCLASE-RXN"	EC-6.5.1.4	ENZRXN0-1583
RXN0-6566	"RXN0-6566"	EC-6.5.1.8	ENZRXN0-7433
RXN-15952	"RXN-15952"	EC-3.1.4.58	ENZRXN0-7903
RXN-17911	"RXN-17911"		
RXN0-7190	"RXN0-7190"		ENZRXN0-8136
RXN0-7191	"RXN0-7191"		ENZRXN0-8138
RXN0-295	"RXN0-295"		
RXN0-5295	"RXN0-5295"	EC-3.2.1.86	ENZRXN0-6451 // ENZRXN0-6450 // ENZRXN0-6449
TRANS-RXN-153	"TRANS-RXN-153"		TRANS-ENZRXN-153C // TRANS-ENZRXN-153
ALTARCA-RXN	"ALTARCA-RXN"		
ARCB-RXN	"ARCB-RXN"		
ARCB717-RXN	"ARCB717-RXN"		
ARCA-RXN	"ARCA-RXN"		
ARCBTRANS-RXN	"ARCBTRANS-RXN"		
RXN0-312	"RXN0-312"	EC-3.1.3	ENZRXN0-248
RXN0-5345	"RXN0-5345"		
RXN0-5344	"RXN0-5344"		
RXN0-272	"RXN0-272"		
RXN-982	"RXN-982"	EC-1.20.4.1	ENZRXN-9962
TRANS-RXN0-550	"TRANS-RXN0-550"		ENZRXN0-8013 // ENZRXN0-7659
TRANS-RXN0-264	"TRANS-RXN0-264"		ENZRXN0-6503
TRANS-RXN0-551	"TRANS-RXN0-551"		ENZRXN0-7663
RXN0-5459	"RXN0-5459"		
RXN0-5456	"RXN0-5456"		
RXN0-5454	"RXN0-5454"		
ATOC-RXN	"ATOC-RXN"		
ADENYLATECYC-RXN	"ADENYLATECYC-RXN"	EC-4.6.1.1	ADENYLATECYC-ENZRXN
POLYPHOSPHATE-KINASE-RXN	"POLYPHOSPHATE-KINASE-RXN"	EC-2.7.4.1	PPK-ENZRXN
RXN-8654	"RXN-8654"		ENZRXN-17856
RXN0-382	"RXN0-382"	EC-2.7.1	ENZRXN0-6319
DHBAMPLIG-RXN	"DHBAMPLIG-RXN"	EC-2.7.7.58	
AIRS-RXN	"AIRS-RXN"	EC-6.3.3.1	AIRS-ENZRXN
O-SUCCINYLBENZOATE-COA-LIG-RXN	"O-SUCCINYLBENZOATE-COA-LIG-RXN"	EC-6.2.1.26	O-SUCCINYLBENZOATE-COA-LIG-ENZRXN
OHMETPYRKIN-RXN	"OHMETPYRKIN-RXN"	EC-2.7.1.49	HMP-KIN-ENZRXN // OHMETPYRKIN-ENZRXN
THIAZOLSYN3-RXN	"THIAZOLSYN3-RXN"	EC-2.7.1.50	THZ-KIN-ENZRXN
SAICARSYN-RXN	"SAICARSYN-RXN"	EC-6.3.2.6	SAICARSYN-ENZRXN
GLYRIBONUCSYN-RXN	"GLYRIBONUCSYN-RXN"	EC-6.3.4.13	GLYRIBONUCSYN-ENZRXN
DIACYLGLYKIN-RXN	"DIACYLGLYKIN-RXN"	EC-2.7.1.107	DIACYLGLYKIN-ENZRXN
RXN-17916	"RXN-17916"	EC-2.7.7	ENZRXN-24986
ABC-8-RXN	"ABC-8-RXN"	EC-3.6.3	ABC-8-ENZRXN
ABC-11-RXN	"ABC-11-RXN"	EC-3.6.3	ABC-11-ENZRXN
ABC-22-RXN	"ABC-22-RXN"		
2.7.13.1-RXN	"2.7.13.1-RXN"	EC-2.7.13.1	
2.7.10.1-RXN	"2.7.10.1-RXN"	EC-2.7.10.2 // EC-2.7.12.1 // EC-2.7.10.1	ENZRXN0-2572 // ENZRXN0-6249
RXN0-5513	"RXN0-5513"	EC-6.2.1	ACYLACPSYNTH-ENZRXN
RXN0-5209	"RXN0-5209"	EC-2.7.7	ENZRXN0-6313
ABC-56-RXN	"ABC-56-RXN"	EC-3.6.3	ENZRXN0-6365
ABC-23-RXN	"ABC-23-RXN"	EC-3.6.3.28	ENZRXN0-6361
POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN	"POLYNUCLEOTIDE-ADENYLYLTRANSFERASE-RXN"	EC-2.7.7.19	ENZRXN0-6290
RXN-17930	"RXN-17930"		
RXN0-5208	"RXN0-5208"	EC-2.7.7	ENZRXN0-7354 // ENZRXN0-6312
BASS-RXN	"BASS-RXN"		
1PFRUCTPHOSN-RXN	"1PFRUCTPHOSN-RXN"	EC-2.7.1.56	1PFRUCTPHOSPHN-ENZRXN
NICONUCADENYLYLTRAN-RXN	"NICONUCADENYLYLTRAN-RXN"	EC-2.7.7.18	NICONUCADENYLYLTRAN-ENZRXN
RXN-11832	"RXN-11832"	EC-2.7.4.14 // EC-2.7.4.25	CMPKI-ENZRXN
ABC-5-RXN	"ABC-5-RXN"	EC-3.6.3.33	ABC-5-ENZRXN
ABC-18-RXN	"ABC-18-RXN"		ABC-18-ENZRXN
GLUCONOKIN-RXN	"GLUCONOKIN-RXN"	EC-2.7.1.12	GLUCONOKINII-ENZRXN // GLUCONOKINI-ENZRXN
GKI-RXN	"GKI-RXN"	EC-2.7.1.165	ENZRXN0-8067 // GKI-ENZRXN
TRANS-RXN0-202	"TRANS-RXN0-202"	EC-3.6.3	TRANS-ENZRXN-325
ABC-28-RXN	"ABC-28-RXN"		ABC-28-ENZRXN
ABC-33-RXN	"ABC-33-RXN"	EC-3.6.3	ABC-33-ENZRXN
RXN-7913	"RXN-7913"	EC-2.7.4.25 // EC-2.7.4.14 // EC-2.7.4.13	ENZRXN-18491
GMKALT-RXN	"GMKALT-RXN"	EC-2.7.4.13 // EC-2.7.4.12	GMKALT-ENZRXN
RXN0-1140	"RXN0-1140"		ENZRXN0-1315
3.1.21.3-RXN	"3.1.21.3-RXN"	EC-3.1.21.3	ENZRXN0-6301
RXN0-6271	"RXN0-6271"		
ABC-9-RXN	"ABC-9-RXN"	EC-3.6.3	ABC-9-ENZRXN
ABC-10-RXN	"ABC-10-RXN"	EC-3.6.3	ABC-10-ENZRXN
FADSYN-RXN	"FADSYN-RXN"	EC-2.7.7.2	FADSYN-ENZRXN
GDPPYPHOSKIN-RXN	"GDPPYPHOSKIN-RXN"	EC-2.7.6.5	GDPPYPHOSKINI-ENZRXN // GDPPYPHOSKINII-ENZRXN
ATPASE-RXN	"ATPASE-RXN"	EC-3.6.1.15 // EC-3.6.1.3	ENZRXN0-7967 // ENZRXN0-7536
ATP-PYROPHOSPHATASE-RXN	"ATP-PYROPHOSPHATASE-RXN"	EC-3.6.1.8	ENZRXN0-7893
PROPIONYL-COA-CARBOXY-RXN	"PROPIONYL-COA-CARBOXY-RXN"	EC-6.4.1.3	PROPIONYL-COA-CARBOXY-ENZRXN
KDPD-RXN	"KDPD-RXN"		
TRANS-RXN0-268	"TRANS-RXN0-268"	EC-3.6.3.23	ENZRXN0-6509
ABC-2-RXN	"ABC-2-RXN"	EC-3.6.3	ABC-2-ENZRXN
ABC-4-RXN	"ABC-4-RXN"	EC-3.6.3.21	ABC-4-ENZRXN // ABC-3B-ENZRXN
TRANS-RXN0-222	"TRANS-RXN0-222"	EC-3.6.3.21	ENZRXN0-6363
ABC-13-RXN	"ABC-13-RXN"	EC-3.6.3.21	ABC-13-ENZRXN
ABC-12-RXN	"ABC-12-RXN"	EC-3.6.3.21	ABC-12-ENZRXN
ABC-14-RXN	"ABC-14-RXN"	EC-3.6.3.21	ABC-14-ENZRXN
ABC-15-RXN	"ABC-15-RXN"	EC-3.6.3.22	ABC-15-ENZRXN
ABC-35-RXN	"ABC-35-RXN"	EC-3.6.3.22	ENZRXN0-6347 // ENZRXN0-6346
S-ADENMETSYN-RXN	"S-ADENMETSYN-RXN"	EC-2.5.1.6	S-ADENMETSYN-ENZRXN
RXN0-4522	"RXN0-4522"	EC-3.6.3	ENZRXN0-6001
ABC-37-RXN	"ABC-37-RXN"	EC-3.6.3.21	ABC-3A-ENZRXN
ABC-26-RXN	"ABC-26-RXN"	EC-3.6.3	ABC-26-ENZRXN
ABC-36-RXN	"ABC-36-RXN"	EC-3.6.3.22	ABC-15B-ENZRXN
ABC-19-RXN	"ABC-19-RXN"	EC-3.6.3.29	ABC-19-ENZRXN
RXN-8344	"RXN-8344"	EC-2.7.7.75	ENZRXN-15058
FGAMSYN-RXN	"FGAMSYN-RXN"	EC-6.3.5.3	FGAMSYN-ENZRXN
NAD-KIN-RXN	"NAD-KIN-RXN"	EC-2.7.1.23	NAD-KIN-ENZRXN
NAD-SYNTH-GLN-RXN	"NAD-SYNTH-GLN-RXN"	EC-6.3.5.1	NAD-SYNTH-GLN-ENZRXN
PHOQ-RXN	"PHOQ-RXN"		
ABC-27-RXN	"ABC-27-RXN"	EC-3.6.3.27	ABC-27-ENZRXN
PROPKIN-RXN	"PROPKIN-RXN"	EC-2.7.2.15	PROPKIN2-ENZRXN // PROPKIN-ENZRXN
ABC-25-RXN	"ABC-25-RXN"	EC-3.6.3	ABC-24A-ENZRXN // ABC-25-ENZRXN
PYRIDOXKIN-RXN	"PYRIDOXKIN-RXN"	EC-2.7.1.35	PDXY-ENZRXN // PYRIDOXKIN-ENZRXN
PYRAMKIN-RXN	"PYRAMKIN-RXN"	EC-2.7.1.35	PYRAMKIN-ENZRXN
PNKIN-RXN	"PNKIN-RXN"	EC-2.7.1.35	ENZRXN0-8084
RXN0-1139	"RXN0-1139"		ENZRXN0-1314
RCSC-RXN	"RCSC-RXN"		
CREC-RXN	"CREC-RXN"		
NARQ-RXN	"NARQ-RXN"		
NARX-RXN	"NARX-RXN"		
RXN0-6532	"RXN0-6532"		
NRIIPHOS-RXN	"NRIIPHOS-RXN"		
RXN0-6518	"RXN0-6518"		
ABC-34-RXN	"ABC-34-RXN"	EC-3.6.3.20	ABC-34-ENZRXN
ABC-24-RXN	"ABC-24-RXN"	EC-3.6.3.31	ABC-24-ENZRXN
ABC-32-RXN	"ABC-32-RXN"	EC-3.6.3	ABC-32-ENZRXN
ABC-7-RXN	"ABC-7-RXN"	EC-3.6.3.25	ABC-70-ENZRXN // ABC-7-ENZRXN
RXN-12002	"RXN-12002"	EC-2.7.4.22 // EC-2.7.4.14	UMPKI-ENZRXN
RXN-14325	"RXN-14325"		
CTPSYN-RXN	"CTPSYN-RXN"	EC-6.3.4.2	CTPSYN-ENZRXN
RXN-10015	"RXN-10015"		
RXN-10016	"RXN-10016"		
RXN0-5461	"RXN0-5461"	EC-2.7.1.189	ENZRXN0-6605
BAER-RXN	"BAER-RXN"		
BAES-RXN	"BAES-RXN"		
BARA-RXN	"BARA-RXN"		
RXN0-6560	"RXN0-6560"		
RXN0-6561	"RXN0-6561"		
PANTOATE-BETA-ALANINE-LIG-RXN	"PANTOATE-BETA-ALANINE-LIG-RXN"	EC-6.3.2.1	PANTOATE-BETA-ALANINE-LIG-ENZRXN
RXN0-5201	"RXN0-5201"		ENZRXN0-6296
RXN0-3241	"RXN0-3241"	EC-3.4.19	ENZRXN0-7483 // ENZRXN0-4401
FRUCTOKINASE-RXN	"FRUCTOKINASE-RXN"	EC-2.7.1.4	ENZRXN0-3121
RXN0-5186	"RXN0-5186"	EC-3.1.3	ENZRXN0-6257
RXN0-313	"RXN0-313"	EC-4.1.2	ENZRXN0-286 // ENZRXN0-285
6PFRUCTPHOS-RXN	"6PFRUCTPHOS-RXN"	EC-2.7.1.11	6PFRUCTPHOS-ENZRXN // PFRUCTPHOS-ENZRXN
L-GLN-FRUCT-6-P-AMINOTRANS-RXN	"L-GLN-FRUCT-6-P-AMINOTRANS-RXN"	EC-2.6.1.16	L-GLN-FRUCT-6-P-AMINOTRANS-ENZRXN
F16ALDOLASE-RXN	"F16ALDOLASE-RXN"	EC-4.1.2.13	F16ALDOLASE-ENZRXN-CLASSI // F16ALDOLASE-ENZRXN-CLASSII
F16BDEPHOS-RXN	"F16BDEPHOS-RXN"	EC-3.1.3.11	ENZRXN0-7743 // ENZRXN0-6614 // ENZRXN0-6263 // ENZRXN0-402 // F16BDEPHOS-ENZRXN
TRANS-RXN0-492	"TRANS-RXN0-492"		ENZRXN0-7511
ALDOSE1EPIM-RXN	"ALDOSE1EPIM-RXN"	EC-5.1.3.3	ALDOSE1EPIM-ENZRXN
BETA-PHOSPHOGLUCOMUTASE-RXN	"BETA-PHOSPHOGLUCOMUTASE-RXN"	EC-5.4.2.6	ENZRXN0-6261
RXN0-6418	"RXN0-6418"		
GLUCOSE-6-PHOSPHATASE-RXN	"GLUCOSE-6-PHOSPHATASE-RXN"	EC-3.1.3.58 // EC-3.1.3.9	
UHPC-RXN	"UHPC-RXN"		
RXN-19362	"RXN-19362"	EC-2.4.1	ENZRXN0-8421
RXN0-5305	"RXN0-5305"		
RXN0-5304	"RXN0-5304"	EC-5.4.99.62	ENZRXN0-6479
RXN-15346	"RXN-15346"		
LYXISOM-RXN	"LYXISOM-RXN"	EC-5.1.3	LYXISOM-ENZRXN
RHAMNISOM-RXN	"RHAMNISOM-RXN"	EC-5.3.1.14	RHAMNISOM-ENZRXN
2.7.7.1-RXN	"2.7.7.1-RXN"	EC-2.7.7.1	ENZRXN0-279
RXN-5841	"RXN-5841"	EC-3.1.3.5	
NMNAMIDOHYDRO-RXN	"NMNAMIDOHYDRO-RXN"	EC-3.5.1.42	NMNAMIDOHYDRO-ENZRXN
NMNNUCLEOSID-RXN	"NMNNUCLEOSID-RXN"	EC-3.2.2.14	NMNNUCLEOSID-ENZRXN
DMBPPRIBOSYLTRANS-RXN	"DMBPPRIBOSYLTRANS-RXN"	EC-2.4.2.21	DMBPPRIBOSYLTRANS-ENZRXN
QUINOPRIBOTRANS-RXN	"QUINOPRIBOTRANS-RXN"	EC-2.4.2.19	QUINOPRIBOTRANS-ENZRXN
BADH-RXN	"BADH-RXN"	EC-1.2.1.8	BADH-ENZRXN
RXN-6268	"RXN-6268"		
RXN0-7231	"RXN0-7231"		ENZRXN0-8173
RXN-17758	"RXN-17758"		
RXN0-288	"RXN0-288"		
RXN0-7094	"RXN0-7094"		
RXN0-7096	"RXN0-7096"		
RXN0-7095	"RXN0-7095"		
TRANS-RXN-340	"TRANS-RXN-340"		ENZRXN0-8417
RXN0-7163	"RXN0-7163"		
RXN0-7192	"RXN0-7192"	EC-6.3.4.15	ENZRXN0-8140
TRANS-RXN0-240	"TRANS-RXN0-240"		ENZRXN0-6440
R131-RXN	"R131-RXN"		
3.6.1.41-RXN	"3.6.1.41-RXN"	EC-3.6.1.41	ENZRXN0-2061
BIS5-ADENOSYL-TRIPHOSPHATASE-RXN	"BIS5-ADENOSYL-TRIPHOSPHATASE-RXN"	EC-3.6.1.29	ENZRXN0-8319
RXN0-6549	"RXN0-6549"		ENZRXN0-7416
RXN0-7003	"RXN0-7003"		
TRANS-RXN-144	"TRANS-RXN-144"		
TRANS-RXN0-497	"TRANS-RXN0-497"		
RXN0-5217	"RXN0-5217"	EC-2.5.1	ENZRXN0-6345
TRANS-RXN-68	"TRANS-RXN-68"		TRANS-ENZRXN-68
TRANS-RXN0-212	"TRANS-RXN0-212"		ENZRXN0-6343
RXN0-6489	"RXN0-6489"		
TRANS-RXN-278	"TRANS-RXN-278"		ENZRXN0-8011 // ENZRXN0-8007
RXN0-5222	"RXN0-5222"		
RXN-14196	"RXN-14196"	EC-2.7.2	
RXN-17753	"RXN-17753"		
RXN-14552	"RXN-14552"		
RXN0-6435	"RXN0-6435"	EC-6.1.2	ENZRXN0-7343
TRANS-RXN0-556	"TRANS-RXN0-556"		
RXN-18031	"RXN-18031"		
TRANS-RXN-339	"TRANS-RXN-339"		ENZRXN0-8416
RXN-16910	"RXN-16910"		
RXN-5077	"RXN-5077"		
TRANS-RXN0-244	"TRANS-RXN0-244"		ENZRXN0-6460
RXN0-10	"RXN0-10"		ENZRXN0-11
CDPKIN-RXN	"CDPKIN-RXN"	EC-2.7.4.6	ENZRXN0-8453 // CDPKIN-ENZRXN
RXN-12198	"RXN-12198"	EC-3.6.1.6	
RXN-18241	"RXN-18241"		ENZRXN0-8320
RXN-2043	"RXN-2043"	EC-3.2.1.4	ENZRXN0-3262
RXN0-7009	"RXN0-7009"		
RXN0-7288	"RXN0-7288"		
RXN0-6547	"RXN0-6547"		
CHEBDEP-RXN	"CHEBDEP-RXN"		
RXN0-6542	"RXN0-6542"		
TRANS-RXN0-591	"TRANS-RXN0-591"		
TRANS-RXN0-592	"TRANS-RXN0-592"		ENZRXN0-7854
RXN0-6546	"RXN0-6546"		
RXN0-6445	"RXN0-6445"		ENZRXN0-7356
CHEYDEPHOS-RXN	"CHEYDEPHOS-RXN"		
3.2.1.14-RXN	"3.2.1.14-RXN"	EC-3.2.1.14	ENZRXN0-5462
TRANS-RXN-341	"TRANS-RXN-341"		ENZRXN0-8418
7-ALPHA-HYDROXYSTEROID-DEH-RXN	"7-ALPHA-HYDROXYSTEROID-DEH-RXN"	EC-1.1.1.159	7-ALPHA-HYDROXYSTEROID-DEH-ENZRXN
TRANS-RXN0-588	"TRANS-RXN0-588"		ENZRXN0-7851
TRANS-RXN0-527	"TRANS-RXN0-527"		
RXN0-7230	"RXN0-7230"	EC-1.1.99.1	ENZRXN0-8172
CHD-RXN	"CHD-RXN"	EC-1.1.99.1	CHD-ENZRXN
RXN-18376	"RXN-18376"	EC-1.14.13.239	ENZRXN0-8351
TRANS-RXN0-533	"TRANS-RXN0-533"		ENZRXN0-7611
TRANS-RXN-99	"TRANS-RXN-99"		TRANS-ENZRXN-99
CHORPYRLY-RXN	"CHORPYRLY-RXN"	EC-4.1.3.40	CHORPYRLY-ENZRXN
CHORISMATEMUT-RXN	"CHORISMATEMUT-RXN"	EC-5.4.99.5	CHORISMATEMUT1-ENZRXN // CHORISMATEMUT2-ENZRXN
ISOCHORSYN-RXN	"ISOCHORSYN-RXN"	EC-5.4.4.2	MENF-ENZRXN // ENTC-ENZRXN
ANTHRANSYN-RXN	"ANTHRANSYN-RXN"	EC-4.1.3.27	ANTHRANSYN-ENZRXN
RXN0-293	"RXN0-293"		
ACONITATEHYDR-RXN	"ACONITATEHYDR-RXN"		ACONITATEHYDRB-ENZRXN // ACONITATEHYDR-ENZRXN
RXN0-7238	"RXN0-7238"	EC-6.2.1.3	ENZRXN0-8178 // ENZRXN0-8176
RXN-17011	"RXN-17011"	EC-2.3.1.51	
RXN-17010	"RXN-17010"	EC-2.3.1.51	
CITLY-RXN	"CITLY-RXN"	EC-4.1.3.6	CITLY-ENZRXN
ACONITATEDEHYDR-RXN	"ACONITATEDEHYDR-RXN"		ACONITATEDEHYDRB-ENZRXN // ACONITATEDEHYDR-ENZRXN
RXN-14047	"RXN-14047"	EC-4.2.1.3	
CITTRANS-RXN	"CITTRANS-RXN"	EC-2.8.3.10	CITTRANS-ENZRXN
RXN-14026	"RXN-14026"	EC-3.1.3.91 // EC-3.1.3.5	ENZRXN0-7730
KDOTRANS-RXN	"KDOTRANS-RXN"	EC-2.4.99.12	KDOTRANS-ENZRXN
DETHIOBIOTIN-SYN-RXN	"DETHIOBIOTIN-SYN-RXN"	EC-6.3.3.3	DETHIOBIOTIN-SYN-ENZRXN
TRANS-RXN0-585	"TRANS-RXN0-585"		ENZRXN0-7841
TRANS-RXN-141A	"TRANS-RXN-141A"		ENZRXN0-8 // TRANS-ENZRXN-141A
TRANS-RXN0-545	"TRANS-RXN0-545"		
RXN0-5253	"RXN0-5253"		
COBALADENOSYLTRANS-RXN	"COBALADENOSYLTRANS-RXN"		COBALADENOSYLTRANS-ENZRXN
RXN0-1565	"RXN0-1565"		ENZRXN0-2942
TRANS-RXN0-283	"TRANS-RXN0-283"		ENZRXN0-7339
TRANS-RXN-296	"TRANS-RXN-296"	EC-3.6.3.33	ENZRXN0-8120
RXN-19340	"RXN-19340"		
RXN-19342	"RXN-19342"		
RXN0-6949	"RXN0-6949"		
RXN0-1461	"RXN0-1461"	EC-1.3.3.3	ENZRXN0-1822
CPXA-RXN	"CPXA-RXN"		
CPXR-RXN	"CPXR-RXN"		
RXN0-3381	"RXN0-3381"		ENZRXN0-4621
R136-RXN	"R136-RXN"		
R137-RXN	"R137-RXN"		
RXN0-269	"RXN0-269"		
RXN0-7080	"RXN0-7080"		
CDPDIGLYSYN-RXN	"CDPDIGLYSYN-RXN"	EC-2.7.7.41	ENZRXN0-6621
RXN0-5515	"RXN0-5515"	EC-2.7.7.41	CDPDIGLYSYN-ENZRXN
RXN-12195	"RXN-12195"	EC-3.6.1.15	
RXN0-383	"RXN0-383"	EC-3.6.1.9 // EC-3.6.1.65	
RXN0-6254	"RXN0-6254"	EC-2.7.7.76	ENZRXN0-7205
TRANS-RXN0-207	"TRANS-RXN0-207"	EC-3.6.3.54	ENZRXN0-6325
TRANS-RXN0-280	"TRANS-RXN0-280"		ENZRXN0-6607
RXN0-14	"RXN0-14"		ENZRXN0-15
RXN0-5384	"RXN0-5384"		
RXN0-6676	"RXN0-6676"		ENZRXN0-7454
RXN-5068	"RXN-5068"		ENZRXN-6178
RXN0-6462	"RXN0-6462"		
RXN-12893	"RXN-12893"	EC-4.2.1.104	
R524-RXN	"R524-RXN"	EC-4.2.1.104	CYANLY-ENZRXN
TRANS-RXN-14	"TRANS-RXN-14"		TRANS-ENZRXN-14
RXN0-4181	"RXN0-4181"	EC-3.1.4.52	ENZRXN0-7381 // ENZRXN0-6595 // ENZRXN0-6271 // ENZRXN0-5561 // ENZRXN0-5541
RXN-8342	"RXN-8342"	EC-2.8.1.12	ENZRXN-15055
RXN0-7198	"RXN0-7198"	EC-2.8.1.10	
RXN0-2787	"RXN0-2787"		
RXN-12872	"RXN-12872"		
RXN0-5038	"RXN0-5038"	EC-3.1.4.53	ENZRXN0-6155
TRANS-RXN0-564	"TRANS-RXN0-564"		
RXN0-298	"RXN0-298"		
RXN0-3001	"RXN0-3001"		
RXN-14514	"RXN-14514"	EC-3.1.3	ENZRXN0-7721
TRANS-RXN-267	"TRANS-RXN-267"		ENZRXN0-7908
CYTIKIN-RXN	"CYTIKIN-RXN"	EC-2.7.1.213	ENZRXN-21368
CYTIDINEKIN-RXN	"CYTIDINEKIN-RXN"	EC-2.7.1.213	CYTIDINEKIN-ENZRXN
CYTIDEAM2-RXN	"CYTIDEAM2-RXN"	EC-3.5.4.5	CYTIDEAM2-ENZRXN
RXN0-361	"RXN0-361"	EC-3.2.2.3	ENZRXN0-7415 // ENZRXN0-7412 // ENZRXN0-421
RXN-14112	"RXN-14112"	EC-3.1.4.16	ENZRXN0-7648
RXN-14511	"RXN-14511"	EC-3.1.3	ENZRXN0-7732
RXN-14090	"RXN-14090"	EC-3.1.3.6	ENZRXN0-7731 // ENZRXN0-7701 // ENZRXN0-7650
TRANS-RXN-108B	"TRANS-RXN-108B"		TRANS-ENZRXN-108B
CYTDEAM-RXN	"CYTDEAM-RXN"	EC-3.5.4.1	CYTDEAM-ENZRXN
TRANS-RXN-116	"TRANS-RXN-116"		TRANS-ENZRXN-116
RXN0-6409	"RXN0-6409"		
RXN0-7154	"RXN0-7154"		ENZRXN0-7981
DALADEHYDROG-RXN	"DALADEHYDROG-RXN"	EC-1.4.5	DALADEHYDROG-ENZRXN
RXN0-5240	"RXN0-5240"		ENZRXN0-6406
TRANS-RXN-313	"TRANS-RXN-313"		
TRANS-RXN-62A	"TRANS-RXN-62A"		TRANS-ENZRXN-62A
3.4.13.22-RXN	"3.4.13.22-RXN"	EC-3.4.13.22	ENZRXN0-2641
UDP-NACMURALGLDAPAALIG-RXN	"UDP-NACMURALGLDAPAALIG-RXN"	EC-6.3.2.10	UDP-NACMURALGLDAPAALIG-ENZRXN
RXN-14747	"RXN-14747"		
ALLOSE-KINASE-RXN	"ALLOSE-KINASE-RXN"	EC-2.7.1.55	ENZRXN0-3241
RXN0-4942	"RXN0-4942"		
ABC-42-RXN	"ABC-42-RXN"	EC-3.6.3	ENZRXN0-6338
RXN0-304	"RXN0-304"	EC-5.1.3	ENZRXN0-261
ALTRODEHYDRAT-RXN	"ALTRODEHYDRAT-RXN"	EC-4.2.1.7	ALTRODEHYDRAT-ENZRXN
ALTRO-OXIDOREDUCT-RXN	"ALTRO-OXIDOREDUCT-RXN"	EC-1.1.1.58	ALTRO-OXIDOREDUCT-ENZRXN
RXN-14850	"RXN-14850"		
RXN-14807	"RXN-14807"		
KDO-8PSYNTH-RXN	"KDO-8PSYNTH-RXN"	EC-2.5.1.55	KDO-8PSYNTH-ENZRXN
RXN-14806	"RXN-14806"		
DARABISOM-RXN	"DARABISOM-RXN"	EC-5.3.1.3	DARABISOM-ENZRXN
RXN0-7221	"RXN0-7221"		ENZRXN0-8154
RXN0-6277	"RXN0-6277"	EC-1	ENZRXN-153
TRANS-RXN0-475	"TRANS-RXN0-475"		
6-PHOSPHO-BETA-GLUCOSIDASE-RXN	"6-PHOSPHO-BETA-GLUCOSIDASE-RXN"	EC-3.2.1.86	ENZRXN0-765 // ENZRXN0-764 // ENZRXN0-762
RXN0-5203	"RXN0-5203"		ENZRXN0-6298
RXN-19381	"RXN-19381"		
DCYSDESULF-RXN	"DCYSDESULF-RXN"	EC-4.4.1.15	DCYSDESULF-ENZRXN
TRANS-RXN-289	"TRANS-RXN-289"		ENZRXN0-8078
TRANS-RXN-288	"TRANS-RXN-288"		ENZRXN0-8077
RXN-14497	"RXN-14497"	EC-1.8.4.4	
TRANS-RXN0-514	"TRANS-RXN0-514"		
TRANS-RXN-290	"TRANS-RXN-290"		ENZRXN0-8079
TRANS-RXN0-616	"TRANS-RXN0-616"		ENZRXN0-8074
IMIDPHOSDEHYD-RXN	"IMIDPHOSDEHYD-RXN"	EC-4.2.1.19	IMIDPHOSDEHYD-ENZRXN
2TRANSKETO-RXN	"2TRANSKETO-RXN"	EC-2.2.1.1	ENZRXN0-7468 // ENZRXN0-1881
ERYTH4PDEHYDROG-RXN	"ERYTH4PDEHYDROG-RXN"	EC-1.2.1.72	ERYTH4PDEHYDROG-ENZRXN
TRANS-RXN0-501	"TRANS-RXN0-501"		ENZRXN0-7541
TRANS-RXN-158A	"TRANS-RXN-158A"		TRANS-ENZRXN-165A
TRANS-RXN-158	"TRANS-RXN-158"		TRANS-ENZRXN-158
TRANS-RXN0-582	"TRANS-RXN0-582"		ENZRXN0-7834
RXN0-4161	"RXN0-4161"		
TRANS-RXN-81	"TRANS-RXN-81"		ENZRXN0-6333
GALACTARDEHYDRA-RXN	"GALACTARDEHYDRA-RXN"	EC-4.2.1.42	GALACTARDEHYDRA-ENZRXN
TRANS-RXN0-203	"TRANS-RXN0-203"		ENZRXN0-7588 // ENZRXN0-7585
